time,score
2023/12/23 12:25:37,30
2023/12/23 12:26:23,30
2023/12/23 12:28:10,10
2023/12/23 12:28:10,10
2023/12/23 13:00:52,380
2023/12/23 13:01:36,10
2023/12/23 13:01:36,10
2023/12/23 13:18:51,640
2023/12/23 13:20:38,80
2023/12/23 13:21:18,0
2023/12/23 13:21:47,60
2023/12/23 13:25:03,0
2023/12/23 13:25:42,30
2023/12/23 13:39:07,2320
2023/12/23 13:41:43,710
